,title,vid_length,approx_views,approx_comments,vid_url
124,The @Dunkin Save is sending @cripplethreat8 into the Finale!,1:10,76k,230,https://www.instagram.com/tv/B2S5h4KAnlT/
125,You’re going to want to WATCH @piffthemagicdragon’s new trick. #AGTResults,5:48,72.9k,94,https://www.instagram.com/tv/B2SuwSrgE9O/
126,@tokiomyersworld and @stewart_copeland just SHOOK the Dolby Theater!,2:32,55.4k,48,https://www.instagram.com/tv/B2SoxyoAYXS/
127,Which of these acts will make it to the Finale?,1:30,53.2k,269,https://www.instagram.com/tv/B2HXGGFBros/
128,@kodileerock’s emotional Semifinals performance is a must-see. ??#AGT,3:02,131k,892,https://www.instagram.com/tv/B2E721chlQv/
129,"Look out world, @tylerbutlerfigueroaviolinist broke free at Semifinals!",2:23,127k,589,https://www.instagram.com/tv/B2DJP5lhWSg/
130,@choirafrica brought a higher love to Semifinals! #AGT,2:52,71.8k,301,https://www.instagram.com/tv/B2C5x4WBxCd/
131,"No phones, just a bunch of superheroes dancing in the moment. #AGT",1:58,75.7k,173,https://www.instagram.com/tv/B2Cs0u1BuBM/
132,@beniciobryant blew us away with a new original song at Semifinals. #AGT,2:30,101k,463,https://www.instagram.com/tv/B2CgZdyhObc/
133,The always-funny @preacherlawson stopped by tonight to make you laugh!,2:26,89k,141,https://www.instagram.com/tv/B2A3q-nhkOL/
134,Season 12 champion @itsdarcilynne and Petunia came by #AGTResults!,2:38,196k,496,https://www.instagram.com/tv/B2Ax6I4B7Yb/
135,@itsdarcilynne & @preacherlawson: An #AGT friendship story.,4:18,196k,295,https://www.instagram.com/tv/B2ArzALhuyg/
136,The @Dunkin Save goes to @LBKidsofficial!,1:09,61.4k,211,https://www.instagram.com/tv/B2ArYFPhGvx/
137,These acts are one step closer!,1:30,48.8k,243,https://www.instagram.com/tv/B11Wmu8hnel/
138,"BRB, going shopping with @jackiefabulous. ? #AGT",2:48,53.4k,155,https://www.instagram.com/tv/B1zCUrGhqQ9/
139,@marcinpatrzalek’s fingers are TOO fast! ? #AGT,2:28,72.9k,250,https://www.instagram.com/tv/B1yy51nhsFP/
140,You can always count on @beniciobryant for heavy dose of authenticity!,2:20,91.9k,415,https://www.instagram.com/tv/B1xIVx-BYzF/
141,It’s a @domjchambers party on the live stage! #AGT,4:55,101k,290,https://www.instagram.com/tv/B1w5OAUBY_6/
142,@dycofficial are unbreakable at Live Shows! #AGT,2:29,84.4k,168,https://www.instagram.com/tv/B1wrPC8hONK/
143,"If watching @emannebeasha doesn’t give you chills, we don’t know what will.",2:38,61.2k,250,https://www.instagram.com/tv/B1wdd6lBEdC/
144,Where do we get that device that turns things to chocolate?,3:01,91.8k,177,https://www.instagram.com/tv/B1wP3GYhqzS/
145,Guarantee @celestiashow will transport you to another world!,3:34,119k,139,https://www.instagram.com/tv/B1utj-xhRtQ/
146,America has decided!,1:21,71.7k,148,https://www.instagram.com/tv/B1upO8jhjwI/
147,Take a look at this weeks epic lineup!,2:28,57k,227,https://www.instagram.com/tv/B1jrX-YBZ1U/
148,Who else has chills after @chrisklafford’s performance? #AGT,2:07,56.3k,200,https://www.instagram.com/tv/B1hOYwiByyJ/
149,We’re suckers for this @lbkidsofficial performance! ?#AGT,2:04,87.7k,183,https://www.instagram.com/tv/B1hGrppBQcl/
150,It’s a beautiful day for @choirafrica after their powerful performance!,2:30,72.1k,191,https://www.instagram.com/tv/B1hBGTMhobV/
151,@robertfinleymusic is feelin’ the love here in Hollywood! ??#AGT,2:23,48.1k,110,https://www.instagram.com/tv/B1g-OIwBNPu/
152,Get to the basement!,2:56,67k,123,https://www.instagram.com/tv/B1g4yb5hGYq/
153,"Don’t you worry child, @tylerbutlerfigueroaviolinist has a plan for lives!",2:12,157k,794,https://www.instagram.com/tv/B1g3YO8BN2p/
154,Tag a friend you trust this much.,2:17,57.1k,365,https://www.instagram.com/tv/B1gk7FdhKuj/
155,Here’s 10 years of @howiemandel being punny! ? #AGTResults,2:32,65.4k,79,https://www.instagram.com/tv/B1cm-ztBlGO/
156,Celebrating 10 years of @howiemandel on #AGT.,1:49,140k,350,https://www.instagram.com/tv/B1clMm-Bduu/
157,The 2nd round of #AGT Live Shows is TUESDAY 8/7c. Here’s who’s performing!,2:30,73.7k,249,https://www.instagram.com/tv/B1SXKCSB1MK/
158,@AnsleyBurns is delivering a heavy dose of adorable to live shows! ? #AGT,1:39,76.9k,469,https://www.instagram.com/tv/B1PALofhPla/
159,@VoicesofService are a commanding presence at the Live Shows! #AGT,2:23,60.1k,98,https://www.instagram.com/tv/B1OzN93hLMB/
160,We are somewhere between chills and euphoria.,2:37,93.7k,213,https://www.instagram.com/tv/B1NHoxOh2FR/
161,@AlexDowisArt takes us on an incredible journey of life. #AGT,3:55,61.2k,131,https://www.instagram.com/tv/B1M4BXZhpTr/
162,"Is it getting hot in here, or is it just the @MessoudiBros? ? #AGT",3:10,76.2k,199,https://www.instagram.com/tv/B1MqxZ2hSkk/
163,@gregmortoncomic: the man of 1000 voices. #AGT,3:11,104k,247,https://www.instagram.com/tv/B1MblmNBTlQ/
164,@kodileerocks is touching our hearts and changing the world. #AGT,3:08,143k,774,https://www.instagram.com/tv/B1MPftVBYjJ/
165,The @Dunkin Save results are in!,1:23,138k,653,https://www.instagram.com/tv/B1KnvfuBStq/
166,"@sofiedossi, @briankingjoseph, & @officialbiancaryan took us all by storm!",2:33,83.9k,95,https://www.instagram.com/tv/B1KjUfFB-vL/
167,#AGT live shows begin TUESDAY 8/7c on @NBC.,2:08,67.5k,262,https://www.instagram.com/tv/B0_RD72Bkll/
168,Always remember the golden moments.,1:30,124k,232,https://www.instagram.com/tv/B09BgHLhOJt/
169,@ecsleights blew our minds and possibly stole our wallets. ?? #JudgeCuts,5:53,112k,230,https://www.instagram.com/tv/B02BbbehcFc/
170,"Meet Jay Leno’s Golden Buzzer, @emannebeasha.",5:08,218k,726,https://www.instagram.com/tv/B02AOPNBxti/
171,No one could’ve predicted @marina_mazepa’s shocking performance! ?,4:41,149k,219,https://www.instagram.com/tv/B018q6ChtgF/
172,@beniciobryant steps up with the perfect original song for #JudgeCuts!,2:45,151k,494,https://www.instagram.com/tv/B0qsx4uBZog/
173,@LBKidsOfficial lit it up and punched their golden ticket to lives!,7:15,145k,335,https://www.instagram.com/tv/B0j9gpSHex8/
174,It’s just a matter of time until you see @AnsleyBurns’ name in lights!,5:59,250k,544,https://www.instagram.com/tv/B0j79ZEnGcX/
175,How many movies can you name from @gregmortoncomic’s performance?,3:36,124k,317,https://www.instagram.com/tv/B0j3NKiHO_9/
176,"@elliekemper is guest judging this week, and we think she’s pretty ?.",1:32,79.9k,69,https://www.instagram.com/tv/B0gi-ZtB4Xt/
177,@Duplaotempooficial are having a good time on their way UP!,3:49,105k,138,https://www.instagram.com/tv/B0YsL7GhUek/
178,"No sitting, just rockin’ and rollin’! #JudgeCuts",4:12,93.6k,205,https://www.instagram.com/tv/B0R-fZiBUq4/
179,@v.unbeatable_official_india defies gravity!,8:12,257k,"1,226",https://www.instagram.com/tv/B0R75mvhIbt/
180,@AlexDowisArt honors the mission to the moon in this moving performance!,5:00,117k,185,https://www.instagram.com/tv/B0R6eTEBaNn/
181,What do you think @birkhalsagroup’s batting average is? ? #JudgeCuts,3:52,78.9k,239,https://www.instagram.com/tv/B0R14MtBMTr/
182,"@dwyanewade gets personal about basketball, home life, and #AGT.",3:47,73.2k,47,https://www.instagram.com/tv/B0JkotihQP5/
183,@birkhalsagroup is taking ice-breakers to a whole new level! ?,3:52,173k,331,https://www.instagram.com/tv/B0JJXXXBpk0/
184,"@dwyanewade is a basketball superstar, but what kind of judge will he be?",1:29,67.4k,38,https://www.instagram.com/tv/B0GkTP8hZ9K/
185,No sleep? No problem! #JudgeCuts,5:04,196k,792,https://www.instagram.com/tv/Bz_-P6KhNDP/
186,@ChrisKlafford breaks out an incredible original song for #JudgeCuts.,3:13,137k,447,https://www.instagram.com/tv/Bz_8w8RjdOV/
187,All our emotions got caught in @circusspinner’s dreamcatcher. #JudgeCuts,5:06,130k,410,https://www.instagram.com/tv/Bz_7eccDROe/
188,@BradPaisley is sending @SophiePecora to lives!,7:01,188k,711,https://www.instagram.com/tv/Bz_563wDt2_/
189,@SimonCowell invites YOU to watch the first 10 minutes of Judge Cuts!,10:46,134k,184,https://www.instagram.com/tv/Bz8ii-UF_Dv/
190,@SimonCowell invites YOU to watch the first 10 minutes of Judge Cuts!,10:46,18.3k,41,https://www.instagram.com/tv/Bz8gPJKFbn6/
191,Find out what kind of judge @BradPaisley will be!,3:00,65.2k,41,https://www.instagram.com/tv/Bz33l4YBu7r/
192,The lost @bradpaisley audition tape has leaked! ?,2:57,120k,101,https://www.instagram.com/tv/Bz1bR5xBQ0T/
193,We live for these extraordinary Golden Buzzer moments. ??,1:34,102k,88,https://www.instagram.com/tv/Bz0wdFpBc1W/
194,@thelukeislam had a dream. @juleshough made it come true. #AGT,8:16,260k,"1,078",https://www.instagram.com/tv/Bzt_GhKBnqA/
195,The man. The beard. The voice. ? #AGT,6:14,202k,859,https://www.instagram.com/tv/Bzt5rLJBgWn/
196,@robertfinleymusic has his sights set on stardom! #AGT is all-new TUESDAY!,6:24,110k,173,https://www.instagram.com/tv/Bzi1HQyB6ID/
197,@kodileerocks was born to entertain...and maybe make everyone cry. ??,8:14,286k,"1,095",https://www.instagram.com/tv/Bzb9qe8hQcp/
198,Even @itsjosephallen’s smile is Golden Buzzer worthy! ? #AGT,9:28,125k,235,https://www.instagram.com/tv/Bzb7CcehHY-/
199,Light up shoes. Knock out talent! @tylerbutlerfigueroaviolinist wows #AGT,8:00,198k,828,https://www.instagram.com/tv/Bzb43c7hrgI/
200,THIS is their moment! ?,9:34,102k,164,https://www.instagram.com/tv/BzbzEfZhAOe/
