,title,vid_length,approx_views,approx_comments,vid_url
73,These Ninjas are straight fire ?. #AmericanNinjaWarrior,4:01,55.5k,35,https://www.instagram.com/tv/By1WWY3A4UM/
74,Make way for the KING!?#AmericanNinjaWarrior,1:38,281k,186,https://www.instagram.com/tv/By1UpHqg975/
75,@sparklyninja is BACK and better than ever! ? #AmericanNinjaWarrior,4:02,124k,73,https://www.instagram.com/tv/By1PDbHgr-7/
76,@tmortimer08 is one of the many reasons why we celebrate our dads today.,2:36,49.2k,54,https://www.instagram.com/tv/ByxwWj_g9hQ/
77,FEAR. THE. BEARD #AmericanNinjaWarrior,4:15,54.9k,53,https://www.instagram.com/tv/Byag_5og4Op/
78,We're constantly impressed with the endurance these Ninjas bring.,2:15,50.3k,22,https://www.instagram.com/tv/ByWdDzngXyR/
79,He's called the @reallifeninja for a reason. ? #AmericanNinjaWarrior,1:36,375k,273,https://www.instagram.com/tv/ByWa9rtAWHW/
80,@ninjajessclay is proof that anything is possible. #AmericanNinjaWarrior,4:35,320k,102,https://www.instagram.com/tv/ByWX79dAI5M/
81,May the best pet win!,1:37,121k,262,https://www.instagram.com/tv/ByQQpmBA6gv/
82,@imalexweber is LITERALLY crashing the course! Go Alex go!,2:01,69.9k,30,https://www.instagram.com/tv/ByIgOEzAZxg/
83,"@TheChadFlexington, @mrsuccessfu1, and @burkinator500 blew us away!",1:56,60.4k,19,https://www.instagram.com/tv/ByEcBN_gs7C/
84,"Don't mess with @Kevin_the_bull, you'll get the horns.",1:49,1.2m,718,https://www.instagram.com/tv/ByEYn45gN9O/
85,"When it comes to the #AmericanNinjaWarriorCourse, @youngflip7 is fearless.",2:56,425k,192,https://www.instagram.com/tv/Bx-K0CRg3hK/
86,Ninja Warrior Weekly: Las Vegas Night 3,6:36,15.7k,9,https://www.instagram.com/tv/BnphojBBW4C/
87,American Ninja Warrior Weekly: Vegas Night 2,5:56,"8,890",5,https://www.instagram.com/tv/BnXQoSIhTsS/
88,Eric Middleton at the Vegas Finals: Stage 1,2:46,18k,3,https://www.instagram.com/tv/BnT_CsNhxqJ/
89,Jamie Rahn Goes Barefoot at the Vegas Finals: Stage 1,2:51,85.5k,31,https://www.instagram.com/tv/BnC1NknhR0i/
90,American Ninja Warrior Weekly: Minneapolis Finals,4:02,10.3k,1,https://www.instagram.com/tv/Bm1Dbi9hMTZ/
91,Jake Murray at the Minneapolis City Finals,3:56,"6,652",2,https://www.instagram.com/tv/BmuGtDahyCr/
92,American Ninja Warrior Weekly: Philly Finals,4:24,"5,160",1,https://www.instagram.com/tv/BmjMWAyBDJF/
93,Michelle Warnky at the Philadelphia City Finals,4:07,10.1k,2,https://www.instagram.com/tv/BmcERPdBvZa/
94,American Ninja Warrior Weekly: Indianapolis Finals,4:06,"6,551",2,https://www.instagram.com/tv/BmOy3MTBGcl/
95,Kyle Schulze at the Indianapolis City Finals,4:54,"3,793",0,https://www.instagram.com/tv/BmCQ5JJBzmz/
96,Ninja vs Dino,1:55,"8,243",5,https://www.instagram.com/tv/BmBtCBJlkga/
97,American Ninja Warrior Weekly: Miami Finals,3:55,"5,619",1,https://www.instagram.com/tv/Bl-9L4MjLdA/
98,Drew Drechsel: Miami City Finals,3:24,"7,653",8,https://www.instagram.com/tv/Bl3UjiSDtYl/
99,Ninja Warrior Weekly: Dallas Finals,3:25,"3,751",1,https://www.instagram.com/tv/Blq_ijnBgU1/
100,Barclay Stockett at the Dallas City Finals,4:33,"7,536",7,https://www.instagram.com/tv/BllfEqHA_0y/
101,Ninja Warrior Weekly: Los Angeles Finals,3:35,"4,144",2,https://www.instagram.com/tv/BlbiUG4FvgL/
102,Sean Bryan at the Los Angeles City Finals,3:42,"3,544",3,https://www.instagram.com/tv/Bla_EJOA8JE/
103,Ninja Warrior Weekly: Minneapolis Qualifiers,3:44,"3,666",2,https://www.instagram.com/tv/BlWXAnLle5p/
104,Kevin Bull at the Los Angeles City Finals,4:11,"6,237",7,https://www.instagram.com/tv/BlTnXQLnieX/
105,Eric Middleton Takes On Minneapolis City Qualifiers,2:17,"7,501",5,https://www.instagram.com/tv/BlBcH-0hBWS/
106,Jessie Graff Takes On Miami City Qualifiers,3:50,13.5k,25,https://www.instagram.com/tv/BkTiNXJhzwh/
