,ig_handle,igtv_code,title,url,video_length,views,comment_count,likes,caption,upload_date
116,agt,BnJzyd5nMVx,The Illusionists And Light Balance Perform Epic Magic And Dance Collab,https://www.instagram.com/tv/BnJzyd5nMVx/,2:39,37270,17,1416,"Card magic, quick changes, and an epic light up dance crew came together and delivered an incredible performance!",
117,agt,BnHFDmPH4i6,Talent University: Brian Justin Crum,https://www.instagram.com/tv/BnHFDmPH4i6/,3:01,11751,5,294,Today's Talent University lesson is all about the art of the performance with @BrianJustinCrum. Created with our partner @DunkinDonuts.,
118,agt,BnEtGfsHgiq,"Simon Cowell Sabotages Tyra Banks' Blind Dates, Hilarity Ensues",https://www.instagram.com/tv/BnEtGfsHgiq/,5:08,56008,,2842,OMG! Simon secretly coached people through dating Tyra Banks and it ended with Heidi Klum throwing her drink in Taylor Williamson's face.,
119,agt,ByBsK_CheGu,,https://www.instagram.com/tv/ByBsK_CheGu/,,224436,627,31912,,
120,agt,BmjZJFanTDn,"Darci Lynne, The 13-Year-Old Ventriloquist, Returns With ""Show Off",https://www.instagram.com/tv/BmjZJFanTDn/,3:00,53723,59,2730,"The winner of season 12, Darci Lynne, is back with an amazing rendition of ""Show Off.""",
121,agt,Bmi8Sw3nIuA,Talent University: Sofie Dossi,https://www.instagram.com/tv/Bmi8Sw3nIuA/,3:04,23343,16,887,@sofiedossi is bringing her secrets for maximum flexibility to Talent University! Created with @DunkinDonuts.,
122,agt,BmM5hH-HkxD,Flau'jae: 14-Year-Old Rapper Earns Golden Buzzer From Chris Hardwick,https://www.instagram.com/tv/BmM5hH-HkxD/,4:56,14719,75,1404,The young rapper returns with a touching and heart-wrenching original. Flau'jae's amazing performance earned her the golden buzzer from Chris Hardwick!,
123,agt,BmBybb-HAAk,Lord Nil: Nearly Eaten Alive By Alligators In Dangerous Stunt,https://www.instagram.com/tv/BmBybb-HAAk/,4:16,24249,28,830,"Lord Nil left with shattered bones last time he tried this escape. Per Simon Cowell's request, he upped the ante by including alligators. Catch him hanging upside down in a straight jacket by ropes on fire... it's insanely dangerous.",
124,agt,Bl--ONzFnHK,Talent University: Junior and Emily Alabi,https://www.instagram.com/tv/Bl--ONzFnHK/,4:11,11206,9,207,@juniorandemilyalabi are getting physical with your education at Talent University! ?? Created with our partner @dunkindonuts.,
125,agt,Bl6zR9aDxbO,Quin and Misha: 71-Year-Old Dancer And Partner Receive Golden Buzzer,https://www.instagram.com/tv/Bl6zR9aDxbO/,4:10,19819,32,661,Guest judge Martina McBride hit her golden buzzer for Quin and Misha! Catch their high energy and inspirational performance.,
